 ,English,Vietnamese,Korean,Chinese,Russian,Italian,French,Japanese,Spanish,German
Text_Level_30,Who drew on the wall,Ai đã vẽ bậy lên tường,누가 벽에 그렸나,谁在墙上画的,Кто рисовал на стене,Chi ha disegnato sul muro?,Qui a dessiné sur le mur,誰が壁に描いたのか,QuiÃ©n dibujÃ³ en la pared,Wer hat an die Wand gemalt
Text_Level_31,Who cutdown those flower,Ai đã phá chậu hoa,누가 저 꽃을 잘랐는가,谁砍了那些花,Кто срубил этот цветок,Chi ha tagliato quei fiori?,Qui a coupé ces fleurs,誰がそれらの花を切り倒したか,QuiÃ©n cortÃ³ esas flores,Wer hat diese Blume gepflÃ¼ckt?
Text_Level_32,Find the Fox,Con cáo ở đâu,여우를 찾아라,寻找狐狸,Найди лису,Trova la volpe,Trouver le renard,キツネを探す,Encuentra el zorro,Finde den Fuchs
Text_Level_33,Find the Dog's owner,Ai là chủ nhân của chú chó,개의 주인을 찾아라,找到狗的主人,Найдите хозяина собаки,Trova il proprietario del cane,Trouver le propriétaire du chien,犬の飼い主を探す,Encuentra al dueÃ±o del perro,Finde den Besitzer des Hundes
Text_Level_34,Who is kid's father,Ai là bố đứa trẻ,아이의 아버지는 누구인가,谁是孩子的父亲,Кто отец ребенка,Chi è il padre del bambino?,Qui est le père de l'enfant,子供の父親は誰ですか,QuiÃ©n es el padre del niÃ±o,Wer ist der Vater des Kindes?
Text_Level_35,Help him find his mate,Giúp chú mèo đi tỏ tình,그가 그의 짝을 찾도록 도와주세요,帮助他找到他的伴侣,Помогите ему найти свою половинку,Aiutalo a trovare il suo compagno,Aidez-le à trouver son compagnon,彼が彼の仲間を見つけるのを手伝ってください,AyÃºdalo a encontrar a su pareja,"Hilf ihm, seinen Partner zu finden"
Text_Level_36,Find the Dog,Tìm chú chó,개를 찾아라,找狗,Найди собаку,Trova il cane,Trouver le chien,犬を探す,Encuentra el perro,Finde den Hund
Text_Level_37,Who will win?,Ai sẽ chiến thắng,누가 이길까요?,谁会赢？,Кто победит?,Chi vincerà?,Qui va gagner ?,誰が勝つ？,Â¿QuiÃ©n va a ganar?,Wer wird gewinnen?
Text_Level_38,Where is monster,Ai là quái vật,몬스터는 어디에,怪物在哪里,Где монстр,Dov'è il mostro?,Où est le monstre,モンスターはどこですか,DÃ³nde estÃ¡ el monstruo,Wo ist Monster
Text_Level_39,Who is murder,Ai là hung thủ,살인자는 누구인가,谁是谋杀,Кто убийца,Chi è l'assassino?,Qui est le meurtre,殺人は誰ですか,QuiÃ©n es asesino,Wer ist Mord
Text_Level_40,Find the tallest,Ai cao nhất,가장 키가 큰 것 찾기,找到最高的,Найдите самый высокий,Trova il più alto,Trouvez le plus haut,最も背の高いものを探す,Encuentra el mÃ¡s alto,Finde die GrÃ¶ÃŸten
Text_Level_41,Make her interest,Lý do mà nàng yêu,그녀의 관심을 끌어라,让她感兴趣,Заинтересовать ее,Fai il suo interesse,Faites-lui l'intérêt,彼女に興味を持ってください,Haz que se interese,Mache ihr Interesse
Text_Level_42,Find the thief,Ai là kẻ cắp,도둑을 찾아라,找到小偷,Найдите вора,Trova il ladro,Trouver le voleur,泥棒を探す,Encuentra al ladrÃ³n,Finde den Dieb
Text_Level_43,Find Batman,Truy tìm batman,배트맨을 찾아라,寻找蝙蝠侠,Найди Бэтмена,Trova Batman,Trouver Batman,バットマンを探す,Encuentra a Batman,Batman finden
Text_Level_44,Who is terrorist,Ai là kẻ khủng bố,테러리스트는 누구인가,谁是恐怖分子,Кто террорист,Chi è il terrorista?,Qui est terroriste,テロリストは誰ですか,QuiÃ©n es terrorista,Wer ist Terrorist?
Text_Level_45,Chose the right answer,Đâu là đáp án đúng,정답을 선택하세요,选择正确答案,Выбери правильный ответ,Scegli la risposta giusta,Choisissez la bonne réponse,正しい答えを選んでください,Elige la respuesta correcta,WÃ¤hle die richtige Antwort
Text_Level_46,where is Diamond,Truy tìm viên kim cương,다이아몬드는 어디에,钻石在哪里,где алмаз,Dov'è il diamante?,où est le diamant,ダイヤモンドはどこですか,dÃ³nde estÃ¡ el diamante,wo ist der Diamant
Text_Level_47,Find the Wolf,Tìm sói gian ác,늑대 찾기,寻找狼,Найди волка,Trova il lupo,Trouver le loup,オオカミを探す,Encuentra al lobo,Finde den Wolf
Text_Level_48,Help her cross the road,Giải cứu người qua đường,그녀가 길을 건너도록 도와주세요,帮她过马路,Помогите ей перейти дорогу,Aiutala ad attraversare la strada,Aide-la à traverser la route,彼女が道を渡るのを手伝ってください,AyÃºdala a cruzar la calle,Hilf ihr die StraÃŸe zu Ã¼berqueren
Text_Level_49,Which piece is right?,Chọn miếng bánh sinh nhật đúng,어떤 부분이 맞나요?,哪一块是对的？,Какой кусок правильный?,Quale pezzo è giusto?,Quelle pièce est juste ?,どの部分が正しいですか？,Â¿QuÃ© pieza es la correcta?,Welches StÃ¼ck ist richtig?
Text_Level_50,Find all the relic,Truy tìm cổ vật,모든 유물 찾기,找到所有的遗物,Найдите всю реликвию,Trova l'intera reliquia,Trouver toute la relique,すべての遺物を探す,Encuentra todas las reliquias,Finde alle Relikte
Text_Level_51,Who is stalker,Ai là kẻ nhìn lén,스토커는 누구인가,谁是跟踪狂,Кто сталкер,Chi è lo stalker?,Qui est le harceleur,ストーカーは誰ですか,QuiÃ©n es acosador,Wer ist Stalker?
Text_Level_52,Someone is hidding,Tìm kẻ bám đuôi,누군가 숨어 있다,有人在躲,Кто-то прячется,Qualcuno si sta nascondendo,Quelqu'un se cache,誰かが隠れている,Alguien se esconde,Jemand versteckt sich
Text_Level_53,Find the fake Witches,Ai là kẻ mạo danh,가짜 마녀를 찾아라,寻找假女巫,Найдите фальшивых ведьм,Trova le streghe false,Trouvez les fausses sorcières,偽の魔女を探す,Encuentra las brujas falsas,Finde die falschen Hexen
Text_Level_54,Chose the right girl,đâu là cô gái đúng,올바른 소녀를 선택했습니다,选择合适的女孩,Выбрал подходящую девушку,Scegli la ragazza giusta,Choisis la bonne fille,適切な女の子を選んだ,Elige a la chica correcta,WÃ¤hle das richtige MÃ¤dchen
Text_Level_55,Find the Alien,Truy tìm Alien,외계인을 찾아라,寻找外星人,Найдите инопланетянина,Trova l'alieno,Trouver l'extraterrestre,エイリアンを探す,Encuentra al alienÃ­gena,Finde den AuÃŸerirdischen
Text_Level_56,Where is Mr.Bear,Tìm chú gấu,Mr.Bear는 어디에?,熊先生在哪里,Где мистер медведь,Dov'è Mr.Bear?,Où est M.Ours,ベアさんはどこですか,DÃ³nde estÃ¡ el seÃ±or oso,Wo ist Mr. BÃ¤r
Text_Level_57,The danger man,ai là kẻ nguy hiểm,위험한 남자,危险的人,Опасный человек,Uomo pericoloso,L'homme dangereux,危険な男,El hombre peligroso,Der Gefahrenmann
Text_Level_58,Find the right piece,Đâu là mảnh cắt đúng,올바른 조각 찾기,找到合适的作品,Найдите нужный кусок,Trova il pezzo giusto,Trouvez la bonne pièce,適切なピースを見つける,Encuentra la pieza correcta,Finde das richtige StÃ¼ck
Text_Level_59,Who is lying,Ai đang nói dối,거짓말하는 사람,谁在说谎,Кто врет,Chi sta mentendo?,Qui ment,誰が嘘をついているのか,QuiÃ©n estÃ¡ mintiendo,Wer lÃ¼gt
Text_Level_60,Find Cinderella,Ai là lọ lem,신데렐라를 찾아라,寻找灰姑娘,Найдите Золушку,Trova Cenerentola,Trouver Cendrillon,シンデレラを探す,Encuentra a Cenicienta,Aschenputtel finden
Text_Level_61,Find Prince Charming,truy tìm hoàng tử,차밍 왕자를 찾아라,寻找白马王子,Найди прекрасного принца,Trova il principe azzurro,Trouver le prince charmant,プリンスチャーミングを探す,Encuentra al prÃ­ncipe azul,Finde Prinz Charming
Text_Level_62,The missing piece,Tìm mảnh thiếu,누락된 조각,丢失的一块,Недостающий кусок,Il pezzo mancante,La pièce manquante,行方不明の部分,La pieza que falta,Das fehlende StÃ¼ck
Text_Level_63,The naughty kid,Đâu là trẻ hư,못된 아이,调皮的孩子,Непослушный ребенок,Il bambino cattivo,Le vilain gosse,いたずらっ子,El niÃ±o travieso,Das freche Kind
Text_Level_64,Find Mom,Tìm mẹ,엄마를 찾아라,找妈妈,Найти маму,Trova la mamma,Trouver maman,お母さんを探す,Encuentra a mamÃ¡,Finde Mama
Text_Level_65,Find his surprising gift,Món quà bất ngờ ,그의 놀라운 선물을 찾아라,找到他的惊喜礼物,Найдите его удивительный дар,Trova il suo regalo a sorpresa,Trouvez son cadeau surprenant,彼の驚くべき贈り物を見つける,Encuentra su regalo sorprendente,Finde sein Ã¼berraschendes Geschenk
Text_Level_66,Where is spiderman,truy tìm người nhện,스파이더맨은 어디에,蜘蛛侠在哪里,Где человек-паук,Dov'è l'Uomo Ragno?,Où est Spiderman,スパイダーマンはどこですか,DÃ³nde estÃ¡ spiderman,Wo ist Spiderman?
Text_Level_67,Open all the chest,Tìm cách mở rương,모든 가슴을 열자,打开所有的胸部,Открыть весь сундук,Apri la cassa,Ouvre toute la poitrine,すべての胸を開きます,Abre todo el cofre,Ã–ffne die ganze Truhe
Text_Level_68,Find the Superman,Ai là superman,슈퍼맨을 찾아라,寻找超人,Найди Супермена,Trova Superman,Trouver le Superman,スーパーマンを探す,Encuentra a Superman,Finde den Superman
Text_Level_69,Who is Princess,Đâu là chân ái của Hoàng tử,공주는 누구인가,谁是公主,Кто такая принцесса,Chi è la principessa?,Qui est princesse,プリンセスは誰ですか,QuiÃ©n es princesa,Wer ist die Prinzessin
Text_Level_70,Find the Cat,Tìm mèo,고양이 찾기,找到猫,Найди кота,Trova il gatto,Trouver le chat,猫を探す,Encuentra el gato,Finde die Katze
Text_Level_71,Corect the equation,Sửa phép tính đúng,방정식 수정,修正方程,Исправьте уравнение,Correggi l'equazione,Corriger l'équation,方程式を修正,Corregir la ecuaciÃ³n,Korrigiere die Gleichung
Text_Level_72,Corect the equation,Sửa phép tính đúng,방정식 수정,修正方程,Исправьте уравнение,Correggi l'equazione,Corriger l'équation,方程式を修正,Corregir la ecuaciÃ³n,Korrigiere die Gleichung
Text_Level_73,find the mouse,Tìm chú chuột nhắt,쥐를 찾아라,找到老鼠,найди мышь,Trova il topo,trouver la souris,マウスを探す,encuentra el ratÃ³n,finde die Maus
Text_Level_74,What make Piggy scare?,tại sao chú lợn lại sợ hãi ,새끼 돼지를 두렵게 만드는 것은 무엇인가?,是什么让小猪害怕？,Что пугает Хрюшу?,Cosa fa spaventare il porcellino?,Qu'est-ce qui fait peur à Piggy ?,ピギーを怖がらせるものは何ですか？,Â¿QuÃ© hace que Piggy se asuste?,Was macht dem Schweinchen Angst?
Text_Level_75,who is cheating,Ai đang gian lận ,누가 바람을 피우는가,谁在作弊,кто обманывает,Chi mente?,qui triche,だましている人,quien estÃ¡ engaÃ±ando,wer betrÃ¼gt
Text_Level_76,chose the right shoes,Đâu là đôi giày đúng,올바른 신발을 선택했습니다,选择了合适的鞋子,выбрал правильную обувь,Scegli le scarpe giuste,choisir les bonnes chaussures,適切な靴を選びました,elegiste los zapatos correctos,wÃ¤hle die richtigen Schuhe
Text_Level_77,Who have fake score,Ai đã sửa điểm,가짜 점수를 가진 사람,谁有假分数,У кого фальшивый счет,Chi ha un punteggio falso?,Qui ont un faux score,偽のスコアを持っている人,QuiÃ©n tiene puntaje falso,Wer hat gefÃ¤lschte Punkte?
Text_Level_78,find the sheep,Truy tìm cừu con,양을 찾아라,找到羊,найди овцу,Trova la pecora,trouver le mouton,羊を探す,encuentra la oveja,finde die Schafe
Text_Level_79,Find treasure,Tìm kho báu,보물을 찾아라,寻宝,Найдите сокровище,Trova il tesoro,Trouver un trésor,宝物を探す,Encuentra el tesoro,Schatz finden
Text_Level_80,who break the vase,Ai đã làm vỡ chậu hoa,누가 꽃병을 부수는가,谁打破了花瓶,кто разбивает вазу,Chi ha rotto il vaso?,qui cassent le vase,花瓶を壊す人,quien rompe el jarrÃ³n,wer zerbricht die Vase
Text_Level_81,Help murder get away,Giúp tên sát nhân thoát tội,살인자를 쫓도록 도와주세요,帮助谋杀逃脱,Помогите убийству уйти,Aiuta l'assassino a scappare,Aide le meurtre à s'échapper,殺人が逃げるのを手伝ってください,Ayuda al asesinato a escapar,Helfe dem Mord zu entkommen
Text_Level_82,Fix the mirror,Sửa lại tấm gương,거울을 고치자,修好镜子,Починить зеркало,Ripara lo specchio,Réparer le miroir,ミラーを修正する,Arregla el espejo,Repariere den Spiegel
Text_Level_83,Where is Birthday cake,Tìm chiếc bánh sinh nhật,생일 케이크는 어디에,生日蛋糕在哪里,Где торт на день рождения,Dov'è la torta di compleanno?,Où est le gâteau d'anniversaire,バースデーケーキはどこですか,DÃ³nde estÃ¡ el pastel de cumpleaÃ±os,Wo ist die Geburtstagstorte
Text_Level_84,Find Remy the mouse,Tìm chú chuột nhắt,레미 마우스를 찾아라,找到雷米老鼠,Найдите Реми мышь,Trova Remy il topo,Trouvez Remy la souris,マウスのレミーを探す,Encuentra a Remy el ratÃ³n,Finde Remy die Maus
Text_Level_85,find the guy,Tìm đúng mảnh cắt,그 남자를 찾아라,找到那个人,найди парня,Trova il ragazzo,trouve le gars,男を見つける,encuentra al chico,finde den Kerl
Text_Level_86,Which is her Child,Đâu là con cô ấy,그녀의 아이는 누구인가,哪个是她的孩子,Какой ее ребенок,Qual è suo figlio?,Quel est son enfant,彼女の子供はどれですか,CuÃ¡l es su hijo,Welches ist ihr Kind
Text_Level_87,Fix the nail,làm móng cho cô gái,못을 박아라,固定钉子,Исправить гвоздь,Ripara l'unghia,Fixer l'ongle,爪を直す,Arreglar la uÃ±a,"Fix, den Nagel"
Text_Level_88,The missing piece,Mảnh ghép,누락된 조각,丢失的一块,Недостающий кусок,Il pezzo mancante,La pièce manquante,行方不明の部分,La pieza que falta,Das fehlende StÃ¼ck
Text_Level_89,Help him turn back time,Giúp anh chàng đúng giờ,그가 시간을 되돌릴 수 있도록 도와주세요,帮助他时光倒流,Помогите ему повернуть время вспять,Aiutalo a tornare indietro nel tempo,Aide-le à remonter le temps,彼が時間を戻すのを手伝ってください,AyÃºdalo a retroceder el tiempo,"Hilf ihm, die Zeit zurÃ¼ckzudrehen"
Text_Level_90,Help her fix the food,Giúp cô ấy nấu ăn,그녀가 음식을 고칠 수 있도록 도와주세요,帮她修菜,Помогите ей исправить еду,Aiutala a sistemare il cibo,Aide-la à préparer la nourriture,彼女が食べ物を直すのを手伝ってください,AyÃºdala a preparar la comida,"Hilf ihr, das Essen zu reparieren"
Text_Level_91,Give her a spa,Giúp cô nàng xinh đẹp,그녀에게 스파를 주세요,给她做水疗,Дай ей спа,Falle un trattamento spa,Offrez-lui un spa,彼女にスパを与える,Dale un spa,Gib ihr ein Spa
Text_Level_92,Who is lying,Ai đang nói dối,거짓말하는 사람,谁在说谎,Кто врет,Chi sta mentendo?,Qui ment,誰が嘘をついているのか,QuiÃ©n estÃ¡ mintiendo,Wer lÃ¼gt
Text_Level_93,Where is Rabbit,Chú thỏ đâu rồi,토끼는 어디에,兔子在哪里,Где кролик,Dov'è il coniglio?,Où est le lapin,うさぎはどこですか,DÃ³nde estÃ¡ el conejo,Wo ist das Kaninchen
Text_Level_94,Find the cheater,Ai đang gian lận,사기꾼을 찾아라,找到骗子,Найдите читера,Trova l'imbroglione,Trouver le tricheur,詐欺師を探す,Encuentra al tramposo,Finde den BetrÃ¼ger
Text_Level_95,Correct the equation,Sửa phép tính đúng,방정식을 수정하자,修正方程,Исправьте уравнение,Correggi l'equazione,Corriger l'équation,方程式を修正,Corrige la ecuaciÃ³n,Korrigiere die Gleichung
Text_Level_96,Find the moon,Tìm mặt trăng,달을 찾아라,寻找月亮,Найти луну,Trova la luna,Trouver la lune,月を探す,Encuentra la luna,Finde den Mond
Text_Level_97,Find the stalker,Tìm kẻ giấu mặt,스토커를 찾아라,找到跟踪者,Найдите сталкера,Trova lo stalker,Trouver le harceleur,ストーカーを探す,Encuentra al acosador,Finde den Stalker
Text_Level_98,Find the answer ,đâu là đáp án đúng,답을 찾아라,找到答案,Найти ответ,Trova la risposta,Trouve la réponse,答えを見つける,Encuentra la respuesta,Finde die Antwort
Text_Level_99,Find the Spy,tìm kẻ theo dõi,스파이를 찾아라,寻找间谍,Найдите шпиона,Trova la spia,Trouver l'espion,スパイを探す,Encuentra al espÃ­a,Finde den Spion
Text_Level_100,Find the first full tank,bình nào đầy trước,첫 번째 전체 탱크를 찾아라,找到第一个满的坦克,Найдите первый полный бак,Trova il primo serbatoio pieno,Trouvez le premier réservoir plein,最初の満タンを見つける,Encuentra el primer tanque lleno,Finde den ersten vollen Tank
Text_Level_101,Help him full,Giúp chàng trai no bụng,그를 완전히 도와주세요,帮他满,Помогите ему полностью,Aiutalo,Aidez-le pleinement,彼をいっぱいに助けて,AyÃºdalo a llenarlo,Hilf ihm voll
Text_Level_102,Find the stolen car,đâu là xe ăn cắp,도난당한 차를 찾아라,找到被盗的汽车,Найдите украденную машину,Trova l'auto rubata,Retrouver la voiture volée,盗まれた車を探す,Encuentra el auto robado,Finde das gestohlene Auto
Text_Level_103,Stop the boom,ngăn quả bom phát nổ,붐을 멈춰라,停止繁荣,Остановить бум,Ferma l'esplosione,Arrête le boum,ブームを止めろ,DetÃ©n la bomba,Stoppe den Boom
Text_Level_104,Who is Alien,đâu là người ngoài hành tinh,외계인은 누구인가,谁是外星人,Кто такой инопланетянин,Chi è l'alieno?,Qui est extraterrestre,エイリアンは誰ですか,QuiÃ©n es alienÃ­gena,Wer ist fremd?
Text_Level_105,Who catch that fish,Ai câu được cá,그 물고기를 잡는 사람,谁钓到了那条鱼,Кто поймал эту рыбу,Chi prende quel pesce?,Qui attrape ce poisson,その魚を捕まえるのは誰か,QuiÃ©n atrapa ese pez,Wer fÃ¤ngt diesen Fisch?
Text_Level_106,Chose the divergent,Chọn kẻ khác biệt,분기를 선택,选择发散的,Выберите расходящиеся,Scegli il divergente,Choisissez le divergent,発散を選択しました,Elige lo divergente,WÃ¤hle das Abweichende
Text_Level_107,Find chicken egg,Tìm trứng gà,계란 찾기,找鸡蛋,Найдите куриное яйцо,Trova l'uovo di gallina,Trouver un œuf de poule,卵を探す,Encuentra huevo de gallina,HÃ¼hnerei finden
Text_Level_108,Chose right shape when look down,đâu là hình đúng khi nhìn từ trên xuống,아래를 볼 때 올바른 모양 선택,低头时选择正确的形状,"Выбирайте правильную форму, когда смотрите вниз",Scegli la forma giusta quando guardi in basso,Choisissez la bonne forme lorsque vous regardez vers le bas,見下ろすときに正しい形を選んだ,Elige la forma correcta cuando mire hacia abajo,"WÃ¤hle die richtige Form, wenn du nach unten schaust"
Text_Level_109,Find the deathman,đâu là ma thật ,죽은 사람을 찾으십시오,找到死人,Находить мертвец,Trova il morto,Trouver le mort,死んだ男を見つけてください,Encontrar al hombre muerto,Finde den toten Mann
Text_Level_110,Chose the right box,Đâu là hình hộp đúng,오른쪽 상자를 선택하십시오,选择正确的盒子,Выбери правильную коробку,Scegli la scatola giusta,Choisissez la bonne case,正しいボックスを選択してください,Elige la caja correcta,WÃ¤hle die richtige Box
Text_Level_111,Find the Circle,Tìm hình tròn,원을 찾아라,找到圆圈,Найди круг,Trova il cerchio,Trouver le cercle,サークルを探す,Encuentra el cÃ­rculo,Finde den Kreis
Text_Level_112,Who is John,Ai là John,존은 누구인가,约翰是谁,Кто такой Джон,Chi è John?,Qui est John,ジョンは誰ですか,QuiÃ©n es John,Wer ist John
Text_Level_113,Open the chest,Mở chiếc rương,가슴을 열어라,打开胸膛,Открыть сундук,Apri la cassa,Ouvrir la poitrine,胸を開く,Abre el cofre,Ã–ffne die Truhe
Text_Level_114,Who is zombie,Ai là zombie,좀비는 누구인가,谁是僵尸,Кто зомби,Chi è lo zombi?,Qui est zombie,ゾンビは誰ですか,QuiÃ©n es zombie,Wer ist der Zombie?
Text_Level_115,Who is the thief,Ai là kẻ cắp ,도둑은 누구인가,谁是小偷,Кто вор,Chi è il ladro?,Qui est le voleur,泥棒は誰ですか,QuiÃ©n es el ladron,Wer ist der Dieb
Text_Level_116,Find the infected person,Ai là kẻ nhiễm bệnh,감염된 사람을 찾아라,找到感染者,Найдите зараженного человека,Trova la persona infetta,Trouver la personne infectée,感染者を探す,Encuentra a la persona infectada,Finde die infizierte Person
Text_Level_117,Find the different one,Tìm con mèo khác biệt,다른 것을 찾아라,找到不一样的,Найдите другой,Trova quello diverso,Trouvez l'autre,別のものを探す,Encuentra el diferente,Finde den anderen
Text_Level_118,Help her get contact with friends,giúp cô ấy thôi cô đơn,그녀가 친구들과 연락할 수 있도록 도와주자,帮助她与朋友取得联系,Помогите ей наладить контакт с друзьями,Aiutala a mettersi in contatto con gli amici,Aidez-la à entrer en contact avec des amis,彼女が友達と連絡を取るのを手伝ってください,AyÃºdala a ponerse en contacto con sus amigos,"Hilf ihr, Kontakt zu Freunden aufzunehmen"
